split,source,variant,crops,n,brier,score,log_loss,accuracy
development,real,rotation,6759,13518,0.15593380746423724,0.8440661925357628,0.4645970345693394,0.9582778517532179
development,real,single,6759,13518,0.30807961021729136,0.6919203897827086,1.466959515992181,0.6448439118212753
development,synthetic,rotation,396,792,0.08361795780252519,0.9163820421974748,0.26314523958934743,0.8964646464646465
development,synthetic,single,396,792,0.12875678843344157,0.8712432115665585,0.5573347973369996,0.8383838383838383
