split,source,variant,crops,n,brier,score,log_loss,accuracy
development,real,rotation,6759,13518,0.020775802667482645,0.9792241973325173,0.06856364258348563,0.972924988903684
development,real,single,6759,13518,0.02472064315444023,0.9752793568455598,0.08206774596411594,0.965601420328451
development,synthetic,rotation,396,792,0.005592318123285659,0.9944076818767144,0.019098569333289434,0.98989898989899
development,synthetic,single,396,792,0.007178786569968466,0.9928212134300315,0.027347863096803513,0.9924242424242424
