split,source,variant,crops,n,brier,score,log_loss,accuracy
calibration,real,rotation,6843,13686,0.022580394312684063,0.9774196056873159,0.07515600012586238,0.9690194359199181
calibration,real,single,6843,13686,0.026096376537618222,0.9739036234623818,0.08986882968287406,0.9646353938331141
calibration,synthetic,rotation,405,810,0.004356627380714124,0.9956433726192859,0.017406768906056237,0.9950617283950617
calibration,synthetic,single,405,810,0.006978103959836816,0.9930218960401632,0.03240259546750276,0.991358024691358
